=== Rubik's Cube Debug Log ===
Started: 2025-11-29 16:00:04
==============================

Application initialized successfully

DISPLAY: frame=1 angleX=0.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-5.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-10.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-15.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-20.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-25.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-30.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-35.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-40.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-45.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-50.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-55.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-60.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-65.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-70.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-75.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-80.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-85.0 angleY=0.0
KEYBOARD: UP pressed | angleX=-90.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-85.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-80.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-75.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-70.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-65.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-60.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-55.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-50.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-45.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-40.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-35.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-30.0 angleY=0.0
DISPLAY: frame=31 angleX=-30.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-25.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-20.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-15.0 angleY=0.0
KEYBOARD: DOWN pressed | angleX=-10.0 angleY=0.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=5.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=10.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=15.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=20.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=25.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=30.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=35.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=40.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=45.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=50.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=55.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=60.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=65.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=70.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=75.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=80.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=85.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=90.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=95.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=100.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=105.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=110.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=115.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=120.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=125.0
KEYBOARD: RIGHT pressed | angleX=-10.0 angleY=130.0
DISPLAY: frame=61 angleX=-10.0 angleY=130.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=125.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=120.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=115.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=110.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=105.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=100.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=95.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=90.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=85.0
KEYBOARD: LEFT pressed | angleX=-10.0 angleY=80.0
